AP-BEC,2018-08-10 13:34:55,52.4802,-1.8898,BSSID,a0:8d:16:45:0f:62,Huawei Technologies Co.Ltd,VodafoneMobileWiFi-0F6202
PR-REQ,2018-08-10 13:34:55,52.4802,-1.8898,Client,e8:b4:c8:c4:75:07,Samsung Electronics Co.Ltd,Broadcast
AP-RES,2018-08-10 13:34:55,52.4802,-1.8898,Client,e8:b4:c8:c4:75:07,Samsung Electronics Co.Ltd,Hidden SSID
PR-REQ,2018-08-10 13:34:55,52.4802,-1.8898,Client,4c:66:41:ec:9e:aa,Samsung Electro-Mechanics(Thailand),Broadcast
AP-RES,2018-08-10 13:34:55,52.4802,-1.8898,Client,4c:66:41:ec:9e:aa,Samsung Electro-Mechanics(Thailand),Hidden SSID
PR-REQ,2018-08-10 13:34:55,52.4802,-1.8898,Client,4c:66:41:ec:9e:aa,Samsung Electro-Mechanics(Thailand),Broadcast
AP-RES,2018-08-10 13:34:55,52.4802,-1.8898,Client,4c:66:41:ec:9e:aa,Samsung Electro-Mechanics(Thailand),Hidden SSID
AP-BEC,2018-08-10 13:34:55,52.4802,-1.8898,BSSID,70:70:8b:2a:6c:a0,Cisco Systems Inc,_The Cloud
PR-REQ,2018-08-10 13:34:56,52.4802,-1.8898,Client,ea:b5:6e:73:9d:c7,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:34:56,52.4802,-1.8898,Client,ea:b5:6e:73:9d:c7,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-10 13:34:56,52.4802,-1.8898,Client,48:ee:0c:ec:56:26,D-Link International,WayYardCCTV
AP-RES,2018-08-10 13:34:56,52.4802,-1.8898,Client,48:ee:0c:ec:56:26,D-Link International,WayYardCCTV
PR-REQ,2018-08-10 13:34:56,52.4802,-1.8898,Client,10:07:b6:9e:a7:e4,Samsung Electronics Co.Ltd,Agarwal-5G-bJtH
AP-RES,2018-08-10 13:34:56,52.4802,-1.8898,Client,10:07:b6:9e:a7:e4,Samsung Electronics Co.Ltd,Agarwal-5G-bJtH
PR-REQ,2018-08-10 13:34:56,52.4802,-1.8898,Client,fa:ab:19:47:f0:db,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:34:56,52.4802,-1.8898,Client,fa:ab:19:47:f0:db,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-10 13:34:56,52.4802,-1.8898,Client,b6:29:8d:30:84:24,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:34:56,52.4802,-1.8898,Client,b6:29:8d:30:84:24,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-10 13:34:56,52.4802,-1.8898,Client,9a:bb:ba:3b:89:5b,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:34:56,52.4802,-1.8898,Client,9a:bb:ba:3b:89:5b,Unknown Vendor,Hidden SSID
AP-BEC,2018-08-10 13:34:57,52.4802,-1.8898,BSSID,70:70:8b:2a:6c:a2,Cisco Systems Inc,WBullring
PR-REQ,2018-08-10 13:34:57,52.4802,-1.8898,Client,06:de:9a:41:dd:75,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:34:57,52.4802,-1.8898,Client,06:de:9a:41:dd:75,Unknown Vendor,Hidden SSID
