AP-BEC,2018-08-14 13:26:06,52.4376,-1.9144,BSSID,c0:05:c2:fe:7a:c9,Arris Group Inc.,VM8785567
AP-BEC,2018-08-14 13:26:07,52.4376,-1.9144,BSSID,d2:05:c2:ef:b9:89,Unknown Vendor,Virgin Media
PR-REQ,2018-08-14 13:26:07,52.4376,-1.9144,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Broadcast
AP-RES,2018-08-14 13:26:07,52.4376,-1.9144,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Hidden SSID
PR-REQ,2018-08-14 13:26:07,52.4376,-1.9144,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Broadcast
AP-RES,2018-08-14 13:26:07,52.4376,-1.9144,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Hidden SSID
PR-REQ,2018-08-14 13:26:08,52.4376,-1.9144,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Broadcast
AP-RES,2018-08-14 13:26:08,52.4376,-1.9144,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Hidden SSID
PR-REQ,2018-08-14 13:26:08,52.4376,-1.9144,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Broadcast
AP-RES,2018-08-14 13:26:08,52.4376,-1.9144,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Hidden SSID
AP-BEC,2018-08-14 13:26:08,52.4376,-1.9144,BSSID,00:24:17:b5:62:73,Thomson Telecom Belgium,Gnetwork
AP-BEC,2018-08-14 13:26:09,52.4376,-1.9144,BSSID,52:0d:10:43:16:41,Unknown Vendor,Virgin Media
PR-REQ,2018-08-14 13:26:16,52.4366,-1.9143,Client,58:20:b1:22:d7:69,Hewlett Packard,VM125596-2G
AP-RES,2018-08-14 13:26:16,52.4366,-1.9143,Client,58:20:b1:22:d7:69,Hewlett Packard,VM125596-2G
PR-REQ,2018-08-14 13:26:16,52.4366,-1.9143,Client,58:20:b1:22:d7:69,Hewlett Packard,VM125596-2G
AP-RES,2018-08-14 13:26:16,52.4366,-1.9143,Client,58:20:b1:22:d7:69,Hewlett Packard,VM125596-2G
PR-REQ,2018-08-14 13:26:17,52.4366,-1.9143,Client,9e:c9:95:fd:85:4a,Unknown Vendor,Broadcast
AP-RES,2018-08-14 13:26:17,52.4366,-1.9143,Client,9e:c9:95:fd:85:4a,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-14 13:26:25,52.4365,-1.9142,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
AP-RES,2018-08-14 13:26:25,52.4365,-1.9142,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
PR-REQ,2018-08-14 13:26:25,52.4365,-1.9142,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-RES,2018-08-14 13:26:25,52.4365,-1.9142,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-BEC,2018-08-14 13:26:26,52.4365,-1.9142,BSSID,70:50:af:bc:26:6a,Bskyb Ltd,NOWTV71AC3
AP-BEC,2018-08-14 13:26:36,52.4365,-1.9142,BSSID,00:07:26:b8:ec:f5,Shenzhen Gongjin Electronics Co. Ltd.,BTEssentials-XHT
PR-REQ,2018-08-14 13:26:39,52.4365,-1.9142,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Broadcast
